"id"	en	kanji	kana
FMA20394	human body	人体	じんたい
FMA7153	cardinal body part	人体の体部	じんたいのたいぶ
FMA7154	head	頭;アタマ	あたま
FMA49187	occipital part of head	後頭	こうとう
FMA52780	ear	耳/耳;ミミ	みみ
FMA24728	face	顔;カオ	かお
FMA54448	eye	眼;メ/眼および関係構造/眼窩部	め
FMA46476	cheek	頬;ホホ	ほほ
FMA46472	nose	鼻;ハナ/鼻	はな
FMA49184	mouth	口部/口;クチ	こうぶ；くち
FMA46495	chin	オトガイ部;頤部/オトガイ;頤	おとがいぶ；おとがい
FMA7155	neck	頚;クビ	くび
FMA7181	trunk	体幹	たいかん
FMA9576	thorax	胸郭/胸腔；胸郭	きょうかく/きょうくう；きょうかく
FMA24816	anterior chest	胸;ムネ	むね
FMA9577	abdomen	腹;ハラ	はら
FMA9578	pelvis	骨盤	しょうこつばん；しんこつばん/こつばん
FMA14181	back	背;セナカ	せ；せなか
FMA7183	upper limb	上肢	じょうし
FMA23217	pectoral girdle	上肢帯;胸帯;肩帯	じょうしたい；きょうたい；けんたい
FMA24864	axilla	腋窩部/腋窩;ワキノシタ	えきかぶ/えきか；わきのした
FMA24890	arm	上腕;ニノウデ/上腕部	じょうわん；にのうで/じょうわんぶ
FMA24901	elbow	肘部;肘;ヒジ/肘;ヒジ	ちゅうぶ；ひじ
FMA9663	forearm	前腕部/前腕;マエウデ	ぜんわんぶ/ぜんわん；まえうで
FMA9712	hand	手;テ	て
FMA24922	wrist	手根;テクビ/手根部	しゅこん；てくび/しゅこんぶ
FMA24920	palm	手掌部/手掌;テノヒラ	しゅしょうぶ/しゅしょう：てのひら
FMA75592	set of fingers	手の指	てのゆび
FMA7184	lower limb	下肢	かし
FMA16581	pelvic girdle	下肢帯;骨盤帯	かしたい；こつばんたい
FMA24964	hip	寛骨部;股関節部	かんこつぶ；こかんせつぶ
FMA24967	thigh	大腿	だいたい
FMA24974	knee	膝;ヒザ	ひざ
FMA24979	leg	下腿;スネ	かたい；すね
FMA9664	foot	足	あし
FMA25045	dorsal part of foot	足背;アシノコウ/足背部;足背	あしのこう/そくはいぶ
FMA70664	set of toes	趾;足の指/趾;足の指;アシノユビ	ゆび；あしのゆび
FMA71917	set of immaterial anatomical entities	平面、線および部位	へいめん、せんおよびぶい
FMA61824	frontal lobe	前頭葉/前頭部	ぜんとうよう
FMA61826	parietal lobe	頭頂部/頭頂葉	とうちょうよう
FMA67325	occipital lobe	後頭部/後頭葉	こうとうよう
FMA54393	subdivision of face	顔の部位	かおのぶい
FMA46488	buccal part of mouth	頬部	きょうぶのきん
FMA46489	subdivision of external nose	鼻部	びぶ
FMA24189	back of neck	後頚部;項部;ウナジ	こうけいぶ；けいぶ；うなじ
FMA61471	pectoral part of chest	胸筋部	きょうきんぶ
FMA24228	posterior part of pelvis	仙骨部	せんこつぶ
FMA25200	scapular part of pectoral girdle	肩甲部	けんこうぶ
FMA61681	back of abdomen	腰部	ようぶ
FMA9579	perineum	会陰/会陰の部位;会陰部;会陰三角	えいん/えいんのぶい；えいんぶ；えいんさんかく
FMA20347	anal part of perineum	肛門部;肛門三角	こうもんぶ；こうもんさんかく
FMA20348	urogenital part of perineum	尿生殖部;尿生殖三角;尿生殖器部	にょうせいしょくぶ；にょうせいしょくさんかく；にょうせいしょくきぶ
FMA73004	deltoid part of pectoral girdle	三角筋部	さんかくきんぶ
FMA24891	anterior part of arm	前上腕部;上腕前部	ぜんじょうわんぶ；じょうわんぜんぶ
FMA24892	posterior part of arm	後上腕部;上腕後部	こうじょうわんぶ；じょうわんこうぶ
FMA24904	anterior part of elbow	前肘部;前肘面;肘前部	ぜんちゅうぶ；ぜんちゅうめん：ちゅうぜんぶ
FMA24907	posterior part of elbow	後肘部;肘後部	こうちゅうぶ；ちゅうこうぶ
FMA24911	posterior part of forearm	後前腕部;前腕後部	こうぜんわんぶ；ぜんわんこうぶ
FMA24945	segment of hand	手部	しゅぶ
FMA61520	thenar eminence	母指球	ぼしきゅう
FMA61523	hypothenar eminence	小指球	しょうしきゅう
FMA24938	thumb	母指;オヤユビ;第一指	ぼし；おやゆび；だいいっし
FMA24946	index finger	示指;ヒトサシユビ（第二指）	じし；ひとさしゆび（だいにし）
FMA24947	middle finger	中指;ナカユビ（第三指）	なかゆび（だいさんし）
FMA24948	ring finger	薬指;クスリユビ;第四指	くすりゆび；だいよんし
FMA24949	little finger	小指;コユビ;第五指	こゆび；だいごし
FMA74846	segment of knee	膝部	しつぶ
FMA24975	anterior part of knee	前膝部	ぜんしつぶ
FMA24993	segment of foot	足部	そくぶ
FMA25047	big toe	母趾;足の母指;第一趾;足のオヤユビ	ぼし；あしのぼし；だいいっし；あしのおやゆび
FMA25048	second toe	第二趾;足の第二指	だいにし；あしのだいにし
FMA25051	third toe	第三趾;足の第三指	だいさんし；あしのだいさんし
FMA25052	fourth toe	第四趾;足の第四指	だいよんし；あしのだいようんし
FMA25053	little toe	小趾;第五趾;足の小指	しょうし；だいごし；あしのこゆび
FMA23881	skeletal system	骨格系	こっかくけい
FMA71221	axial skeleton	軸骨格;軸性骨格	じくこっかく；じくせいこっかく
FMA71222	appendicular skeleton	付属肢骨格;付属性骨格	ふぞくしこっかく；ふぞくせいこっかく
FMA7474	long bone	長骨	ちょうこつ
FMA7475	short bone	短骨	たんこつ
FMA7476	flat bone	扁平骨	へんぺいこつ
FMA7477	irregular bone	不規則骨;不規則形骨	ふきそくこつ；ふきそくけいこつ
FMA7478	pneumatized bone	含気骨	がんきこつ
FMA32672	sesamoid bone	種子骨	しゅしこつ
FMA46565	skull	頭蓋;ズガイ	ずがい
FMA53672	neurocranium	脳頭蓋;神経頭蓋	のうずがい；しんけいずがい
FMA53673	viscerocranium	内臓頭蓋;顔面頭蓋	ないぞうずがい；がんめんずがい
FMA52735	occipital bone	後頭/後頭骨	こうとうこつ
FMA52801	basicranium	頭蓋底	ずがいてい
FMA53074	orbit	眼窩	がんか
FMA54379	orbital compartment	眼窩	がんかかいとちょっかい
FMA75740	bony nasal cavity	鼻腔;骨鼻腔	びくう；こつびくう
FMA60118	skeleton of nasal septum	骨鼻中隔	こつびちゅうかく
FMA9613	parietal bone	頭頂骨	とうちょうこつ
FMA52734	frontal bone	前頭骨	ぜんとうこつ
FMA52736	sphenoid bone	蝶形骨	ちょうけいこつ
FMA52737	temporal bone	側頭骨	そくとうこつ
FMA52740	ethmoid	篩骨	しこつ
FMA54736	inferior nasal concha	下鼻甲介	かびこうかい
FMA52741	lacrimal bone	涙骨	るいこつ
FMA52745	nasal bone	鼻骨	びこつ
FMA9710	vomer	鋤骨	じょこつ
FMA9711	maxilla	上顎骨	じょうがくこつ
FMA52746	palatine bone	口蓋骨	こうがいこつ
FMA52747	zygomatic bone	頬骨	きょうこつ
FMA52748	mandible	下顎骨	かがくこつ
FMA52749	hyoid bone	舌骨	ぜつこつ
FMA13478	vertebral column	脊柱	せきちゅう
FMA9914	vertebra	椎骨	ついこつ
FMA72063	set of cervical vertebrae	頚椎[C1-C7]	けいつい
FMA12519	atlas	環椎[C1];第一頚椎	だいいちけいつい
FMA12520	axis	軸椎[C2];第二頚椎	だいにけいつい
FMA12525	seventh cervical vertebra	隆椎;第七頚椎	だいななけいつい
FMA72064	set of thoracic vertebrae	胸椎［T1-T12］	きょうつい
FMA72065	set of lumbar vertebrae	腰椎[L1－L5]	ようこつ
FMA16202	sacrum	仙骨;仙椎[1－5]	せんこつ
FMA71331	set of ribs	肋骨[1-12]	ろっこつ
FMA7591	costal cartilage	肋軟骨	ろくなんこつ
FMA7574	rib	肋硬骨	ろくこうまく
FMA7597	first rib	第一肋骨	だいいちろっこつ
FMA7620	second rib	第二肋骨	だいいちろっこつ
FMA7485	sternum	胸骨	きょうこつ
FMA7486	manubrium	胸骨柄	きょうこつへい
FMA7487	body of sternum	胸骨体	きょうこつたい
FMA7488	xiphoid process	剣状突起	けんじょうとっき
FMA7480	rib cage	胸郭	きょうかく
FMA24139	skeleton of upper limb	上肢骨	
FMA25570	bony pectoral girdle	上肢帯;胸帯;肩帯	じょうしたい；きょうたい；けんたい
FMA13394	scapula	肩甲骨	けんこうこつ
FMA13321	clavicle	鎖骨	さこつ
FMA61406	skeletal system of free upper limb	自由上肢骨;上肢の自由部	
FMA13303	humerus	上腕骨	じょうわんこつ
FMA23463	radius	橈骨	とうこつ
FMA23466	ulna	尺骨	しゃくこつ
FMA71335	set of carpal bones	手根骨	しゅこんこつ
FMA23709	scaphoid	舟状骨［手の］	せんじょうこつ（ての）
FMA23712	lunate	月状骨	げつじょうこつ
FMA23715	triquetral	三角骨	さんかくかい
FMA23718	pisiform	豆状骨	とうじょうこつ
FMA23721	trapezium	大菱形骨	だいりょうけいきん
FMA23724	trapezoid	小菱形骨	しょうりょうけいこつ
FMA23727	capitate	有頭骨	ゆうとうこつ
FMA23730	hamate	有鈎骨	ゆうこうこつ
FMA71336	set of metacarpal bones	中手骨[1-5]	ちゅうしゅこつ
FMA231315	set of phalanges	指骨;手の指節骨/趾骨;趾節骨;足の指骨;趾節骨	しこつ；てのしせつこつ；しこつ：しせつこつ；あしのしこつ；しせつこつ
FMA24140	skeleton of lower limb	下肢骨	かしこつ
FMA16585	hip bone	寛骨	かんこつ
FMA16580	bony pelvis	骨盤	こつばん
FMA61409	skeletal system of free lower limb	自由下肢骨;自由下肢部	
FMA9611	femur	大腿骨	だいたいこつ
FMA24485	patella	膝蓋骨	しつがいこつ
FMA24476	tibia	脛骨	けいこつ
FMA24479	fibula	腓骨	ひこつ
FMA24222	skeleton of foot	足の骨;足骨	あしのほね；そっこつ
FMA71339	set of tarsal bones	足根骨	そっこんこつ
FMA9708	talus	距骨	きょうこつ
FMA24496	calcaneus	踵骨	しゅこつ
FMA24499	navicular bone of foot	舟状骨［足の］	せんじょうこつ（あしの）
FMA24518	medial cuneiform bone	内側楔状骨	ないそくけつじょうこつ
FMA24519	intermediate cuneiform bone	中間楔状骨	ちゅうかんけつじょうこつ
FMA24520	lateral cuneiform bone	外側楔状骨	がいそくけいじょうこつ
FMA24527	cuboid bone	立方骨	りっぽうこつ
FMA71340	set of metatarsal bones	中足骨[1-5]	ちゅうそくこつ
FMA23878	articular system	関節系；連結	かんせつけい；れんけつ
FMA7490	joint	連結	れんけつ
FMA71352	set of bony joints	骨の連結	ほねのれんけつ
FMA7491	nonsynovial joint	不動関節;不動結合;関節癒合	ふどうけっせつ；ふどうけつごう；かんせつゆうごう
FMA7492	fibrous joint	線維性の連結	せんせいのれんけつ
FMA7494	syndesmosis	靱帯結合	じんたいけつごう
FMA54839	interosseous membrane	骨間膜	こつかんまく
FMA7496	cartilaginous joint	軟骨性の連結	なんこつせいのれんけつ
FMA7498	symphysis	線維軟骨結合;結合	せんいなんこつけつごう
